price,property description,number of bedrooms,number of bathrooms,Location,estate agency
"N45,000,000",3Bedroom Maisonette in a Mini Estate at Igbosuku by Ikate.,3,3,"Igbosuku, By Nicon Town, Before Shoprite, At Jakande., Ikate Elegushi, Lekki",EKO Criterion Consultancy Services
"N130,000,000",3 Bedrooms + 1 Bq Blocks Of Flat,3,3,Ikoyi,Verified properties Limited
"N45,000,000",Luxury 3 Bedroom Apartments,3,3,"Lekki Phase 1, Lekki",CW Real Estate
"N720,000,000",Luxury 8 Units Of 3 Bedroom Block Of Flat,3,3,"Off Admiralty Way, Lekki Phase 1, Lekki",Ubosi Eleh And Co
"N22,000,000","Blocks Of 1,2&3 Bedroom Apartment",3,3,"Inside Abijo Gra. 4 Minutes’ Drive From Novare Mall (Shoprite Sangotedo), Abijo, Ajah",De Uriels Empire
"N130,000,000",Newly Built 4 Bedroom Apartment,3,3,Ikoyi,CWRE Lagos
"N37,000,000","Phoenix Apartments, Surulere",3,3,"Aguda Surulere, Lagos Nigeria , Aguda , Surulere",Paradise Realty
"N600,000,000",Luxury 3 Bedroom Apartment,3,4,Ikoyi,CWRE Lagos
"N150,000,000",Premium 3 Bedroom Apartment,3,4,Ikoyi,CWRE Lagos
"N150,000,000",Premium 3 Bedroom Apartment,3,3,Ikoyi,CWRE Lagos
"N55,000,000",Premium 1 Bedroom Apartment,1,1,"Banana Island Road, Ikoyi",CWRE Lagos
"N85,000,000",Premium 2 Bedroom Apartment,2,2,"Banana Island Road, Ikoyi",CWRE Lagos
"N90,000,000",1004 four bedroom apartment,4,5,"1004, Victoria Island",Island Luxury
"N55,000,000",3 Bedroom Maisonette For Sale,3,3,"Near Whitesand School, Lekki Phase 1, Lekki",
"N250,000,000",Premium 4 Bedroom Pent House,4,4,"Old Ikoyi, Ikoyi",CWRE Lagos
"N130,000,000",Luxury 3 Bedroom Apartment,3,3,"Onikoyi, Ikoyi",CWRE Lagos
"N115,000,000",Nice 2 Bedroom Apartment,2,2,"Banana Island Road, Banana Island, Ikoyi",CWRE Lagos
"N220,000,000",Luxuriously Finished Brand New 4 Bedroom Apartment,4,4,"Off Alexandra Street, Ikoyi",Andysean Global Concept Limited
"N150,000,000",Spacious 3 Bedroom Apartment With Bq,3,3,"Banana Island, Ikoyi",Leadhomes luxury and apartments
"N190,000,000",Luxury 3 Bedroom Apartment For Sale,3,3,Ikoyi,Cresco Homes and Properties
"N130,000,000",Newly Built 3 Bedroom Apartment In Ikoyi,3,3,"Old, Ikoyi",Island Luxury
"N420,000,000",Luxury 3 Bedroom Apartment with Excellent Amenities,3,4,"Bella Vista Towers, Banana Island, Ikoyi",Joossa Realtors
"N55,000,000","Spacious and well ventilated apartments, terraces and semi-detached duplexes",4,4,"Abraham Adesanya, Ajah",Verified properties Limited
"N25,000,000",Tastefully Finished 2 Bedroom Apartment,2,2,"Chevron, Chevron Drive, Lekki",Wellpro Development and Real Estate
"N180,000,000",Brand New 4 Bedroom Flat,4,4,"Old Ikoyi , Ikoyi",Island Luxury
"N35,000,000",Luxury 2 Bedroom Apartment,2,3,"Ikate Elegushi, Lekki",CW Real Estate
"N68,000,000",2 & 3 Bedroom Luxury Water front Condos,2,2,"Lekki Phase 1, Lekki",CW Real Estate
"N28,000,000",Serviced One Bedroom Apartment with Good Amenities,1,2,"Off Circle Mall Road, Osapa, Osapa, Lekki",Joossa Realtors
"N95,000,000",Luxurious 3 Bedroom Flat,3,3,"Maryland, Ikeja",Yebellz Enterprise
"N900,000,000",4 Bedroom Penthouse With Bq,4,5,"Bourdillon, Ikoyi",Wellpro Development and Real Estate
"N17,200,000,000",Newly Built Highrise Aprtments For Sale,3,3,"Old, Ikoyi",Island Luxury
"N250,000,000",Luxurious 4 Bedroom Apartment For Sale,4,4,"Old, Ikoyi",Island Luxury
"N60,000,000",Premium 1 Bedroom Apartment,1,1,"Vi, Victoria Island",CWRE Lagos
"N95,000,000",Newly Built 3 Bedroom Apartment,3,3,"Lekki Phase 1, Lekki",CW Real Estate
"N70,000,000",Newly Built 3 Bedroom Apartment,3,3,"Lekki Phase 1, Lekki",CW Real Estate
"N288,000,000",Upscale 2 Bedroom Apartment,2,3,"Eko Atlantic, Victoria Island",CWRE Lagos
"N1,800,000,000","Misere Luxury Apartments,Gerald Rd, Ikoyi",3,3,"Gerald Road, Ikoyi, Ikoyi",Avitro Real Estate and Projects Limited
"N600,000,000",Premium 3 Bedroom Highrise Apartment,3,4,Victoria Island,CWRE Lagos
"N80,000,000",Luxury 2 Bedroom Apartment,2,2,"Vi, Victoria Island",CWRE Lagos
"N15,000,000","Block Of 1,2 & 3 Bedroom Apartments,Terraces And Bungalows",2,2,"Abijo Gra, Abijo, Ajah",Brickmakers Real Estate Company
"N275,580,000",Luxurious 2 Bedroom Apartment For Sale,2,2,"Eko Atlantic City,, Victoria Island",Island Luxury
"N65,000,000",Spacious 3 Bedroom Apartment With Bq,3,3,"V.I., Victoria Island",Leadhomes luxury and apartments
"N35,000,000","Beautiful Fully Serviced 1,2&3 Apartments",1,1,"Lekki Phase 1, Lekki",Evening Primerose Realty
"N5,000,000",Furnished 2 Bedroom Serviced With Power,2,2,"4Th Round About By Enyo Filling Station , Ikate Elegushi, Lekki",C.E.O Properties
"N100,000,000",Luxury 3 Bedroom Apartment For Sale At Vi,3,3,"Louis Solomon Close Off Ahmadu Bello Way, Victoria Island",Deluxe Residences Ltd
"N45,000,000",Lovely 3 Bedroom Serviced Apartment Plus a Maid'S Room,3,4,"Off Kunsela Road, Ikate Elegushi, Lekki",Joossa Realtors
"N110,000,000",New 3 Bedroom Apartment,3,4,"Queens Drive, Ikoyi",
"N150,000,000",Modern 3 Bedroom Apartment.,3,3,"Banana Island, Ikoyi",Luglio Real Estate
"N130,000,000",New Luxury 2 Bedroom Waterfront Apartment,2,3,"3Rd Avenue, Banana Island, Ikoyi",
"N450,000,000",5 Bedroom Penthouse For Sale,5,5,"Old, Ikoyi",Island Luxury
"N180,000,000",Newly Built 4 Bedroom Apartment,4,4,Ikoyi,CWRE Lagos
"N95,000,000","4Bedroom Terrace House in a gated estate at Victoria Island Extension, with Pool, Gym, etc.",4,4,"Dideolu Estate, Oniru, Oniru, Victoria Island",EKO Criterion Consultancy Services
"N44,000,000",Tastefully Finished and Strategically possitioned 3 Bedroom Luxury Flat @ Ikate Elegushi,3,4,"Ikate Elegushi Close To Lekki Phase1 , Ikate Elegushi, Lekki",Property Last  Bus Stop
"N1,300,000,000",Luxurious Penthouse Apartment For Sale,4,4,"Gerrard Road , Ikoyi",Island Luxury
"N70,000,000",3 Bedroom Apartment,3,3,"Lekki Phase 1, Lekki",Osekemi Properties Nig Lt
"N1,900,000,000",Banana Island blocks of flats,4,4,"Banana Island, Ikoyi",Andysean Global Concept Limited
"N23,000,000",Lovely 2 Bedrom Flat Apartment,2,2,"Ikota, Lekki",Henshodeg Properties
"N115,000,000",Sharp And Spacious 3 Bedroom Flat On 5Th Floor,3,3,"Old Ikoyi, Ikoyi",Wellpro Development and Real Estate
"N22,000,000",Luxury 3 Bedroom Apartment On The Mainland,3,3,"Orchard Place, Akowonjo,, Ikeja , Ikeja",Invalays Investment Nig Ltd
"N35,000,000",Tasteful Miniflat,1,1,"Oniru Extention, Oniru, Victoria Island",Jasat Realty
"N24,000,000",Lovely 2 Bedroom Luxury Apartment (Penthouse),2,2,"Sangotedo, Ajah",Brixmound Consult & Designs
"N110,000,000",Distres sale flats,4,5,"Off Bourdillon Road, Ikoyi",
"N33,000,000",Luxury 3 Bedroom Flast For Sale In Surulere,3,3,"Troy Court,, Aguda , Surulere",Invalays Investment Nig Ltd
"N180,000,000",Newly Built Finished 3 Bedroom Serviced Flat For Rent,3,4,"Banana Island, Ikoyi",Success Property & Co
"N10,892,250",1 Bedroom Bungalow For Sale,1,1,"Beechwood Park, Bogije, Ibeju Lekki, Ajah",JOA Homes
"N3,000,000,000",8 units of furnished 4 bedroom apartment,4,4,"Park View Estate, Parkview Estate, Ikoyi",Island Luxury
"N1,218,000,000",Fully furnished waterfront all rooms en-suite 4 bed apartment with lawn tennis squash and pool,4,4,"Residential Zone, Banana Island, Ikoyi",Island Luxury
"N155,000,000",Massive 3 Bedroom Flat With Maid Room,3,3,"Onikoyi , Ikoyi",Wellpro Development and Real Estate
"N850,000,000",Luxury Serviced Maisonette And Apartment For Sale,4,4,"Sogbesan Close, Oniru, Victoria Island",The Address Homes
"N125,000,000",Well Finished 3 Bedroom Apartment,4,3,"Banana Island Road, Ikoyi",Wellpro Development and Real Estate
"N55,000,000",Lovely 3 Bedroom Terrace,3,3,"Ochid Road, Chevron Drive, Lekki",Wellpro Development and Real Estate
"N65,000,000",24 Units 3 Bedroom Blocks Of Flat,3,3,"Oniru, Victoria Island",Ubosi Eleh And Co
"N25,000,000",Newly Built 24 Units of 3 Bedroom Apartments,3,4,"Golden Park Estate, Sangotedo, Ajah",Jide Taiwo & Co
"N60,000 per day",Comfort zone,2,2,"Christ Avenue , Lekki Phase 1, Lekki",
"N6,500,000",Luxury And Tastefully Finished Mini Flats,1,1,"Ogombo, Ajah, Ajah",Jerman Ventures Co Ltd
"N35,000,000",New 2 & 3 Bedroom Apartments,2,3,"Pinnock Beach , Jakande, Lekki",
"N300,000,000","Luxuriously Finished 6 Bedroom Maisonette with a Pent House with Swimming Pool, Elevator and Pent House Relaxation Spot",6,7,"Onikoyi Off Banana Island Road, Ikoyi",Stephens Aims Real Estate Ltd
"N48,000,000",Premium 2 Bedroom Apartment,2,3,"Lekki Phase 1, Lekki",CW Real Estate
"N150,000,000",Brand New Water Front 3 Bedroom Flat for Sale at Mojisola Onikoyi Ikoyi Lagos.,3,3,"Mojisola Onikoyi Ikoyi Lagos, Ikoyi",Rosemond Hills Limited
"N100,000,000",Luxury 3 Bedroom Apartment For Sale,3,3,"Lekki Phase 1, Lekki",CW Real Estate
"N28,000,000","3 bedroom Flat in Ikosi, Alapere, Ketu.",3,3,"Ikosi G.R.A Iv, Continental Road, Off Ikosi Road, Ikosi , Ketu",Rawlings Ehumadu & Co.
"N160,000,000",3 Bedroom Premium Apartment,3,3,Ikoyi,CWRE Lagos
"N55,000,000",2 Bedroom Luxury Flat (High Rise),2,2,"Lekki Phase 1, Lekki",Jioram Resources
"N48,000,000",2 Bedroom Apartment,2,3,"Ikate, Ikate Elegushi, Lekki",CW Real Estate
"N125,000,000",3 Bedroom Luxury Apartment with a Service Quarters,3,3,Ikoyi,Underwood Homes
"N70,000,000",Serviced 3 Bedroom Flat For Sale In Ikeja Gra,3,3,"Ikeja Gra, Ikeja G.R.A, Ikeja",Hassan B. Hassan & Associates
"N32,000,000",Units Of 3 Bedroom Apartment,3,3,"Oral Estate, Ikota, Lekki",Olawale Jordan Company
"N30,000,000",Lovely 2 Numbers Of 2 Bedroom Flat,2,2,"Okunola Area, Egbeda, Agege",Femi Akinlusi and Co
"N200,000,000",3 Bedroom Flat For Sale On Gerard Road Ikoyi,3,4,"Gerrard , Ikoyi",
"N6,500,000,000",24 Units Of 3 Bedroom Luxury Apartment,4,3,"Behind Megamound Estate, Lekky County Homes. , Ikota, Lekki",Wellpro Development and Real Estate
"N500,000,000",6 Units Of 3 Bedroom Flats For Sale,3,3,"Off Admiralty, Lekki Phase 1, Lekki",Island Luxury
"N75,000,000","Luxury 3 Bedroom Apartment Along Water Corporation Drive, Oniru, Victoria Island",3,3,"Water Corporation Drive, Oniru, Victoria Island",Deluxe Residences Ltd
"N140,000,000",Distress sales,3,3,"2Nd Avenue, Banana Island, Ikoyi",
"N341,000,000",3 Bedroom Luxury Serviced Apartment,3,4,Ikoyi,Rawlings Ehumadu & Co.
"N150,000,000",3 Bedroom Luxury Flat (Serviced) with BQ & Swimming Pool,3,3,"Close To Banana Island, Ikoyi, Banana Island, Ikoyi",Jioram Resources
"N79,500,000",5 bedroom semi detached house for sale,5,5,"Lafiaji, Lekki",Ben Chika and Co
"N8,000,000",3 Bedroom Flat for sale,3,2,"Odonla, Ikorodu, Ikorodu Road",Nobel & Company
"N40,000,000",4 Bedroom Terrace Duplex - Creek Avenue Court,4,4,"Creek Avenue Court, Ikota, Ikota, Lekki",Edgeline Properties
"N60,000,000",Luxury 3 Bedroom Flat,3,3,"Adeniyi Jones Ikeja , Ikeja , Ikeja",Wellpro Development and Real Estate
"N31,000,000",Premium 2 Bedroom Apartment,2,3,"Ilasan, Lekki Expressway, Lekki",CW Real Estate
"N583,000,000",Penthouse for Sale in Ikoyi,4,4,Ikoyi,Rawlings Ehumadu & Co.
"N210,000,000",3 Bedroom Luxury Serviced Apartment for Sale in Victoria Island,3,4,"Vita Towers, Kofo Abayomi Street, Victoria Island, Victoria Island",Rawlings Ehumadu & Co.
"N75,000,000",Exquisitely luxury 3 bedroom block of flats with BQ and swimming pool for sale,3,3,"Oniru Estate Victoria Island , Victoria Island",IB Properties Investment Limited
"N25,000,000",3 Bedroom Flat for Sale,3,4,"Lekki Expressway, Lekki",Rawlings Ehumadu & Co.
"N308,000,000",4 Bedroom Luxury Serviced Apartment for Sale in Victoria Island,4,5,"Vita Towers, Kofo Abayomi Street, Victoria Island, Victoria Island",Rawlings Ehumadu & Co.
"N270,000,000",Fresh Luxury 3 Bedroom Apartments - 0% Mortgage Option- From $/Negotiable,3,4,"Eko Atlantic City, Victoria Island",Joossa Realtors
"N30,000,000",8 unit of 3 Bedroom Ensuite Luxury Apartment at yaba,3,3,"Yaba, Akoka, Yaba",IOA Infinite Service
"N90,000,000",Upscale 2 Bedroom Apartment,2,3,"Parkview Estate, Ikoyi",CWRE Lagos
"N150,000,000",4 Bedroom Upscale,4,5,"Old Ikoyi , Banana Island, Ikoyi",CWRE Lagos
"N45,000,000",Three bedroom ensuite plus BQ ikate Lekki 1,3,3,"Ikate, Ikate Elegushi, Lekki",IOA Infinite Service
"N45,000,000","3 Bedroom Flat for sale in Ikate, Lekki, Lagos.",3,4,"Ikate, Ikate Elegushi, Lekki",Quolar Global Services
"N130,000,000",Brand New Luxury 3 Bedroom Apartment,3,3,"Banana Island, Ikoyi",Dolphin Homes & Investments
"N15,000,000",Units Of 3 Bedroom Fully Detached Apartment,3,3,"Bogije , Ibeju Lekki, Ajah",
"N145,000,000",Brand New 3 Bedroom Apartment,3,3,"Banana Island, Ikoyi",Dolphin Shelters
"N100,000,000",3 Bedroom flat apartment for Sale.,3,3,"Awolowo Road, Ikoyi",
"N245,000,000",Luxury 3 Bedroom Apartment,3,4,"Eko Atlantic , Victoria Island",
"N70,000,000",Luxury 3 Bedroom Flats For Sale,3,3,"Along Water Corporation Road, Oniru, Victoria Island",Dolphin Homes & Investments
"N95,000,000",Lovely 3 Bedroom Flats Apartment,3,3,"Park View Estate , Parkview Estate, Ikoyi",Dolphin Homes & Investments
"N75,000,000",4 Bedroom Serviced Apartment,4,4,"Ikate Elegushi, Lekki",Rawlings Ehumadu & Co.
"N30,000,000",Block Of 2 And 3 Bedroom Flats,2,2,"Ketu Alapere, Alapere, Ketu",Gbenga Adenuga & Associates
"N45,000,000",Classic 3 Bedroom Apartment,3,3,"Ikate, Ikate Elegushi, Lekki",Dupson Realty Limited
"N25,000,000",Fully Finished Two Bedroom Apartment,2,2,"Chevron Toll Gate, Orchid Hotel, Ikota, Lekki",Edgeline Properties
"N550,000,000",Super Luxury 3 Bedroom Apartment With Bq,3,3,"Alexander Road, Ikoyi",SOLIDWALLS PROPERTIES LIMITED
"N65,000,000",Newly Built And Spacious 3 Bedroom Apartment,3,4,"Palace , Oniru, Victoria Island",
"N75,000,000",A Well Finished Newly built 3bedroom For Sale.,3,3,"Lawal Odunleye Street,Oniru., Oniru, Victoria Island",SOLIDWALLS PROPERTIES LIMITED
"N60,000,000",Tastefully finished and fully furnished 2bedroom Penthouse for Sale.,2,2,"Off Palace Road, Oniru, Victoria Island",SOLIDWALLS PROPERTIES LIMITED
"N55,000,000",Brand new luxury 3 bedrooms block of flats with BQ for sale at oniru estate,3,3,"Oniru Victoria Island Lagos State , Oniru, Victoria Island",IB Properties Investment Limited
"N270,000,000",Very Beautify Newly Built 3 Bedroom Furnished Terrace Apartment,3,3,"Banana Island, Ikoyi",Wellpro Development and Real Estate
"N150,000,000",Brand New 3 Bedroom Apartment,3,3,"Banana Island, Ikoyi",Dolphin Homes & Investments
"N140,000,000",4 bedroom semi detached house with one room BQ,4,5,"Oniru, Victoria Island",Arrd Properties
"N35,000,000","3 Units Of 3 Bedroom Flats For Sale At Atlantic View Estate, Lekki",3,3,"Atlantic View, Lekki Expressway, Lekki",Ubosi Eleh And Co
"N145,000,000",3 Bedroom Luxury Serviced Apartment for Sale in Banana Island,3,3,"Bayview Apartments, Banana Island, Ikoyi., Banana Island, Ikoyi",Rawlings Ehumadu & Co.
"N350,000,000",Luxury Waterfront Apartments,4,4,"1St Avenue, Banana Island, Ikoyi",
"N16,675,000","Apartments - Lakowe, Ibeju – Lekki, Lagos From ?16.675M",2,2,"Lakowe, Ibeju Lekki, Ajah",N.I.D Project & Asset Managers
"N250,000,000",OFF PLAN OFF PLAN INVESTMENT AT 2nd AVENUE APARTMENT,3,3,"Banana Island, Ikoyi",IB Properties Investment Limited
"N29,000,000",Fantastically well finished 3 and 2 bedrooms block of flat house for sale,3,3,"Oral Estate, Chevron Drive, Lekki",IB Properties Investment Limited
"N65,000,000",10 blocks 3bedrooms flats,3,3,"Irepolodun Street Akinyode Ojodu Ogba Ikeja Lagos , Ojodu, Ikeja",Batundetech Properties Limited
"N70,000,000",Tastefully Finished Newly Built 3 Bedroom Flat,3,3,"Lawani Oduloye Street, Oniru, Victoria Island",SOLIDWALLS PROPERTIES LIMITED
"N50,000,000",Units Of One Bedroom Apartment,1,1,"Taiye Olowu Street, Off Victoria Arobieke Street,, Lekki Phase 1, Lekki",The Address Homes
"N100,000,000",6 Units Of Super Luxury 3 Bedroom Flats,3,3,"Shonibare Estate, Maryland, Ikeja",
"N70,000,000",Luxury and classy 3 bedrooms serviced flat with en-suite BQ,3,4,"Serviced Luxury Flats Lekki Phase 1, Lekki Phase 1, Lekki",Spoton Realty and Construction
"N150,000,000",Tastefully finished and Newly built 3 bedroom flat with a room servant quarter for sale,3,4,"Banana Island Off Nasarawa Street, Banana Island, Ikoyi",SOLIDWALLS PROPERTIES LIMITED
"N1,900,000,000",14 Flat fully Serviced Flat,14,14,"Marina Road, Oniru, Victoria Island",Batundetech Properties Limited
"N80,000,000",Luxuriously finished and self serviced 3 Bedroom Flats in Lekki Phase 1,3,4,"Off Hakeem Dickson , Lekki Phase 1, Lekki",Maxville Investment Inc
"N134,400,000",Luxury 2 And 3 Bedroom Flats And Duplex Apartments,2,2,"Okotie Eboh Street, Ikoyi",Olawale Jordan Company
"N45,000,000",3 Bedroom with and without 1 Room BQ and PentHouse with 1 Room BQ at Lekki Phase one,3,3,"Lekki Phase One, Lekki Phase 1, Lekki",Dupson Realty Limited
"N171,000,000",Off Plan: 3 Bedroom Luxury Apartments,3,3,Ikoyi,Underwood Homes
"N140,000,000",Luxurious 3 Bedroom Flat For Sale In Ikoyi,3,3,"Old Ikoyi, Ikoyi",Dolphin Shelters
"N180,000,000",Newly Built 3 Bedroom Serviced Flat,3,3,"Banana Island, Ikoyi",Dolphin Shelters
"N38,000,000",Spacious 2 Bedroom Flat,2,2,"Lake View Estate, Lakowe, Sangotedo, Ajah",FA And Associates
"N150,000,000",Luxury 3 Bedroom Apartments For Sale In Ikoyi,3,4,"Off Banana Island Road, Banana Island, Ikoyi",Maxville Investment Inc
"N100,000,000",Prestigious Fully Finished And Serviced 3 Bedroom Apartment,3,3,"Olumegbon Street Off Kings Drive, Ikoyi",Marcopolo Properties Ltd.
"N165,000,000",Brand New 5 Bedroom Fully Detached Duplex,5,6,"Northern Forshore Estate , Chevron Drive, Lekki",Maxville Investment Inc
"N35,000,000",Off Plan: 2 Bedroom Luxury Apartment,2,2,"Orchid Road , Lekki Expressway, Lekki",Underwood Homes
"N250,000,000",Luxury Terraces In Ikoyi,4,5,"Off Bourdillon, Ikoyi",Maxville Investment Inc
"N75,000,000","Luxury and fully Serviced 3 Bedroom Flat in Oniru, V.I.",3,4,"Oniru Estate, Oniru, Victoria Island",Maxville Investment Inc
"N75,000,000","Well Furnished and Fully Serviced 4 Bedroom Penthouse, Ikate, Lekki",4,5,"4, Ikate Elegushi, Lekki",Joossa Realtors
"N50,000,000",Uniquely built 3 bedroom flat apartment plus swimming pool for sale in a well secured estate at adeniyi jones,3,4,"An Estate At Adeniyi Jones Ikeja Lagos , Ikeja , Ikeja",Loyalty Property
"N230,000,000",Luxuriously Built House In Osapa Lekki,5,6,"Pinnock Beach, Osapa, Lekki",Maxville Investment Inc
"N55,000,000",Classic Multiple House,4,4,"Ochid, Ikota, Lekki",Orangedove Properties Ltd
"N32,000,000",Luxury one bedroom apartmeent,1,1,"Sea Gate Estate, Ikate Elegushi, Lekki",MISA Limited
"N13,950,000",Luxuriously Built 3 Bedroom Flats(All Rooms Ensuite) at Wealthland Green Estate,3,3,"Oribanwa,, Awoyaya, Ajah",
"N45,000,000",Off Plan: 4 Bedroom Luxury Maisonette,4,4,"Orchid Road, Lekki Expressway, Lekki",Underwood Homes
"N17,000,000",3 Unit of 2 Bedroom Flat,2,1,"Olufumise Street Oke Aro Lagos Extension, Ogba, Ikeja",Batundetech Properties Limited
"N65,000,000",Tastefully Finished 3 Bedroom Apartment With A Room Servant Quarter,3,3,"Off White Sand School Road, Lekki Phase 1, Lekki",SOLIDWALLS PROPERTIES LIMITED
"N38,000,000",2 Block of a storey building 24 room & parlor on a plot of land,24,8,"Olufumise Street Oke Aro Lagos State Extension, Ogba, Ikeja",Batundetech Properties Limited
"N55,000,000","Luxury And Tastefully Finished Serviced Flats In Adeniyi Jones, Ikeja",3,4,"Adeniyi Jones , Ikeja , Ikeja",Maxville Investment Inc
"N38,000,000",Brand-New Tastefully Finished 2 Bedroom Penthouse,2,2,"Off Akinyemi Street , Lekki Phase 1, Lekki",SOLIDWALLS PROPERTIES LIMITED
"N52,000,000","6 block of mini flats newly built,",1,2,"Kajola Street Off Fadunsi Faco Estate Ogba Ikeja Lagos, Ogba, Ikeja",Batundetech Properties Limited
"N60,000,000",3 Bedroom flat at eric moore tower,3,3,"Eric Moore Street, Aguda , Surulere",Batundetech Properties Limited
"N15,000,000","Apartments , Duplexes And Bungalow At Camberwell Estate Abijo Gra , Lagos",1,1,"Camberwall Estate, Abijo, Ajah",The Overflow Properties
"N4,000,000","Spacious self service 4 Bedroom Semi Detached Duplex with Bq and security post, @ chevy view Estate By chevron,",4,5,"Chevyview Estate By Chevron, Chevron Drive, Lekki",Elite Real Estate Property Consultants
"N8,000,000",Fully furnished 3bedrooms flat,3,3,"Jabita Close, Off Banana Island Road, Banana Island, Ikoyi",Joe V. Properties Ltd.
"N300,000,000","Luxury Apartments, Gerald Rd, Ikoyi",3,4,"Gerald Road, Ikoyi",Lisieux Avila Properties Limited
"N45,000,000",7 units of 3 bedroom flats tastefully finished,3,3,"Secured Estate, Chevron Axis, Chevron Drive, Lekki",HTH Annepearl Ltd
"N45,000,000",3 Bedroom Flat With Bq,3,4,"Chevy View Estate, Chevron Drive, Lekki",
"N25,000,000","Flourish 2,3 & 4 Apartments And Terraces Bq",2,2,"Orchid Road, Chevron Drive, Lekki",Exclusive Realtors and Properties
"N27,000,000",2 Bedroom Apartment At Urban Prime 4 Estate Abraham Adesanya Lekki Ajah,2,2,"Urban Prime 4 Estate, Ogombo,, Abraham Adesanya, Ajah",The Overflow Properties
"N280,000,000",Luxury 5 Bedroom Penthouse with Lagoon View and Open Terrace,5,7,"Mojisola Onikoyi Exclusive Estate, Ikoyi",Space & Sphere
"N22,000,000","Blocks Of 1,2 & 3 Bedroom Apartment And Terrace",3,3,"Inside Abijo Gra, Abijo, Ajah",Terminax Union Ltd
"N99,000,000",Luxury 3 Bedroom Apartment For Sale,3,3,"Lekki, Lekki Phase 1, Lekki",MS Realtors
